nama_listing,daerah,l_tanah,l_bangunan,k_tidur,k_mandi,listrik,lantai,jarak_rs,jarak_pusatbelanja,jarak_kampus,jarak_tol,stasiun,harga_rumah
Rumah 6 Kamar Tidur SHM 15 menit ke Gerbang Tol Sawangan 1 J-33738,Beji,385,350,6,4,6600,2,1.8,2.4,1.6,1.9,1.7,3870000000
Dijual Rumah Mewah Di Beji Hadap Barat Laut,Beji,400,350,5,4,2200,2,1.9,1.9,1.7,2.3,0.9,5700000000
Rumah Tanah Luas 6 Menit ke Gerbang Tol Kukusan 3 Bebas Banjir J28202,Beji,838,456,7,5,5500,2,1.3,2.4,1.1,1.1,2.7,4090000000
Rumah Di Jual Di Tengah Kota Depok,Beji,300,380,3,3,2200,2,2,0.95,1.2,1.5,1.3,4500000000
Dijual Cepat Rumah di Perumahan Beji Permai Depok,Beji,254,220,5,4,3500,2,2.3,3.1,3.4,2.7,3.8,2800000000
HJual Cepat Rumah Di Orchid Town House Beji Depok,Beji,130,120,3,2,4400,1,1.9,1.8,1.7,1.1,3.6,1700000000
Rumah 3 Lantai Depok Belakang Polsek Beji 600m Ke Pintu Toll,Beji,200,250,4,3,3500,3,0.85,3.1,2,1.1,3.5,1900000000
"Jual Rumah 2 Lantai Di Jl. Niin, Dekat Tol Beji Depok",Beji,199,190,6,4,3500,2,1.8,4.7,2.8,2.2,5.5,2500000000
"Jual Rumah Murah Di Pondok Mahoni Permai, Depok Utara.",Beji,87,90,3,3,2200,2,2.2,3.2,2.9,2.6,2.9,970000000
Rumah Depok Perumnas Beji Dekat Tol Dan Musholla Siap Nego,Beji,110,100,4,2,1300,2,1.5,3.3,2.2,1.8,2.7,1050000000
"Dijual Rumah di Kompleks Villa Magnolia, Beji,Kota Depok,Dekat Akses Tol Kukusan,Dekat KRL Setasiun Ui",Beji,105,91,2,2,2200,2,1.3,2.3,1.3,1.4,2.6,1300000000
Rumah Pusat Kota di Royal Margonda Riverside Depok,Beji,60,84,2,1,1300,2,2.3,1.1,1.6,0.3,1.7,1200000000
Rumah Klasik Murah Tanah Luas Strategis di Raden Sanim Beji Tanah Baru Depok,Beji,358,250,4,3,4400,2,2.6,2.8,3.7,3,4.2,2400000000
RUMAH 2 LANTAI DI GOLDEN LEAF RESIDENCE BEJI,Beji,196,220,4,4,2200,2,0.8,2.9,1.8,1,3.5,2100000000
Dijual Rumah 2 Lantai Dekat Stasiun di Perumahan Depok Mulya 2,Beji,128,240,5,3,2200,2,1.4,2.3,1.2,1.7,1.9,3500000000
Dijual Rumah Second Beji Depok 600 Jutaa,Beji,60,40,2,1,1300,1,4.3,0.75,1.8,0.9,3.4,660000000
Rumah LB 188 SHM 12 menit ke Gerbang Tol Kukusan 1 Dibantu KPR J-13837,Beji,96,188,3,3,4400,2,2.4,2.6,3.9,3.2,4,1770000000
Cluater Mustofa Ready Stock Shm Dp 0,Beji,60,45,2,1,2200,1,0.8,4.2,1.9,0.8,3.4,700000000
Kukusan Beji Depok Rumah 1Lantai Strategis Komeraial Area 3.95M,Beji,457,240,4,3,2200,1,0.8,4.2,1.9,0.7,3.1,3950000000
Rumah Hadap Utara 6 Menit ke Gerbang Tol Kukusan 1 Dibantu KPR J35161,Beji,113,100,3,2,2200,2,1.8,4.5,1.5,1.6,2.8,1990000000
Rumah Siap Huni 3 KT 10 Menit ke Pintu Tol Kukusan 3 Bebas Banjir J35237,Beji,137,75,3,1,1300,1,1.4,3.5,2,2,2.8,780000000
Jual Rumah Hook Di Beji Depok Dekat Jagakarsa,Beji,98,150,5,4,3300,2,1.6,4.7,2.7,1,5.4,1600000000
Rumah di Beji Kukusan Baru Depok,Beji,56,44,2,1,2200,1,1.2,4.7,1.6,1.2,3,630000000
"Rumah 2 LT, Semi Furnished, Lingk. Nyaman, Green Andara Residence",Cinere,151,154,5,4,3500,2,3.1,3.3,1.3,0.9,4.8,3850000000
Super Murah. Cinere Estate. Rmh Besar Asri & Terawat Bebas Banjir,Cinere,301,275,5,4,2200,2,3,1.7,1.5,2.3,7.6,2400000000
Rumah Hook di Bukit Cinere Indah Kompleks Besar Bagus Asri SHM,Cinere,360,360,4,4,3500,2,2.3,0.95,1.9,1.5,6.8,6500000000
Rumah Luas 2 Lt Siap KPR 10 Menit ke Gerbang Tol Brigif ⁠J-35455,Cinere,169,200,3,2,2200,2,2,1,3.6,1.2,8.7,3300000000
Dijual Cepat Rumah 2 Lantai Cinere Depok,Cinere,183,223,5,4,3500,2,2.4,1.1,1.7,2.5,6.9,2980000000
Dijual Rumah di Taman Mutiara Cinere Depok,Cinere,120,160,3,3,3500,2,3.6,2.3,3,0.85,6.3,2500000000
"Dijual Rumah LT. 540 M2 di Jl. Bandung Cinere, Depok (Dd)",Cinere,540,290,5,3,10000,1,2.7,1.4,2.7,3.1,6.7,8000000000
ual Cepat Miring Rumah 2025 LT 180M2 di Cinere Estate Depok,Cinere,180,223,5,3,4400,2,3,1.7,1.5,2.3,7.6,2980000000
"Rumah Luas dan Asri Siap Huni di Andara, Pangkalan Jati, Cinere, Depok",Cinere,230,160,3,3,3500,1,3.4,3.6,1.6,0.85,4.6,2250000000
Rumah Luas Tanah 200 di Graha Cinere Dekat Tol Krukut Antasari,Cinere,200,250,5,3,2200,2,4.7,4,2.7,2.4,8.7,1950000000
Rumah Keren Akses 2 Mobil Dekat Villa Cinere Dan Stasiun Depok,Cinere,61,55,3,2,2200,2,1,1.2,2.4,2.8,5.5,891000000
Rumah 3 Kamar Siap Huni 6 menit ke Gerbang Tol Brigif 4 Bisa KPR J38848,Cinere,170,140,3,2,3500,2,2.4,1.1,3.7,2.1,6.7,1940000000
Rumah Siap Huni di Bukit Cinere Depok,Cinere,201,105,3,3,3500,2,2.3,1,3.4,1.3,6.8,2300000000
Rumah SHM Idaman 15 Menit ke Gerbang Toll Limo 2 Sudah Renov J27167,Cinere,60,40,2,1,2200,1,3.7,2.4,3.2,1.5,7,590000000
For Sale Brand New House di Megapolitan Cinere dengan Lokasi Startegis,Cinere,100,135,4,5,6600,2,2,1,3.6,3.4,6.6,1750000000
Rumah Cantik dan Asri,Cinere,120,180,4,4,4400,2,3.4,2.1,1.8,3,7.9,2500000000
Brand New House di Kompleks Megapolitan Cinere,Cinere,169,200,5,3,6600,2,2,1,3.6,3.4,6.7,2700000000
Rumah Di Villa Cinere Mas,Cinere,500,300,6,4,5500,2,1.8,2,2.4,5,5,6500000000
Rumah Siap Huni Harga Menarik,Cinere,102,200,5,2,5500,2,3.4,2.1,2.3,2.9,7.9,1600000000
Rumah di Bukit Cinere Indah Asri Dan Siap Huni,Cinere,442,250,7,4,3500,1,2.3,0.95,1.9,2.7,6.9,4650000000
Rumah Mewah Baru Semi Furnished Puri Cinere SHM 8M,Cinere,225,385,5,5,11000,2,0.9,1.1,2.1,4.3,4.4,7000000000
Rumah Ngantong Hadap Taman Baru Renovasi Komplek Puri Cinere,Cinere,338,400,4,4,11000,2,0.9,1.1,2.1,4.2,4.5,4250000000
Bukit Cinere Indah,Cinere,381,197,5,5,5500,2,2.3,1,1.9,3.1,6.7,4600000000
Modern House di Puri Cinere – Strategis & Nyaman untuk Keluarga Modern!,Cinere,200,230,5,4,7700,2,0.9,1.1,2.1,4.4,4.5,3300000000
Hunian Asri & Nyaman di Lingkungan Premium Cinere,Cinere,160,170,4,3,7700,2,2.2,0.95,1.8,1.6,6.8,2900000000
"Rumah Mewah Cinere. di Jl. Tanjung No. 148, Cinere, Cinere, Kota Depok, Jawa Barat, Indonesia, 16514, Cinere",Cinere,518,300,7,6,5500,2,1,0.75,2.5,3.6,7.2,3300000000
Dijual Rumah Bagus Strategis di Cinere.,Cinere,180,223,4,3,4400,1,3.2,1.8,2.8,2.3,7.6,2980000000
Rumah Tinggal 2 Lantai Modern Dekat Super Indo Gandul,Cinere,64,90,2,2,2200,2,2.6,1.3,3.6,1.7,6.8,1500000000
Rumah Di Bukit Cinere Indah,Cinere,351,340,6,5,5500,2,2.3,0.95,1.9,3.3,6.8,4700000000
Rumah 1 Lantai Kondisi Bagus Siap Huni Di Megapolitan Cinere Dekat Akses Toll Krukut,Cinere,346,235,4,3,4400,1,2,1,3.6,3.4,6.8,3500000000
Rumah Siap Huni di Mega Cinere Halaman Luas Lingkungan Tenang,Cinere,162,142,4,4,3300,2,1.4,0.1,2.6,2.5,6.1,2650000000
Rumah di Villa Cinere Mas Luas 350 Meter Harga 3 Milyaran,Cinere,350,200,5,5,2200,2,1.8,2,2.4,4.7,5.1,3500000000
Dekat Pintu Toll Limo 2 Lantai Ekslusif Siap Huni,Cinere,95,85,3,3,2200,2,1,4,1.5,2,8.3,1400000000
"Rumah di Graha Cinere Limo Depok, Dekat Pintu Tol dan bisa KPR",Cinere,75,75,2,1,2200,2,4.9,3.6,1.9,2.6,8.7,1100000000
"Rumah Siap Huni, 4 Kamar, SHM, Graha Cinere, Cinere",Cinere,90,110,5,2,2200,2,4.8,3.4,1.7,2.5,8.6,1530000000
Rumah Nyaman Halaman Luas di Jl Lereng Indah Cinere,Cinere,1300,400,5,4,4400,2,3.6,2.3,1.4,3,8.2,6500000000
Hunian Impian di Komplek Elit Bukit Cinere Indah,Cinere,140,150,6,5,3300,2,2.3,0.95,1.9,3.4,6.9,2150000000
"For Sale Rumah 240 Meter Dijual 1,5 Lantai di Puri Cinere",Cinere,240,180,6,4,5500,2,0.9,1.1,2.1,4.6,4.5,3200000000
rumah cantik di cinere dekat pintu tol brigif,Cinere,188,120,4,3,3300,2,3.2,1.9,3.3,2.4,5.9,1700000000
Rumah LT 144 Strategis 12 Menit ke Gerbang Tol Limo 2 Siap Huni J43807,Limo,144,258,5,5,5500,2,3.7,3.8,3.7,3.2,7.9,1660000000
Rumah LB 105 SHM 12 Menit ke Dtc (Depok Town Center) J-40118,Limo,84,105,3,2,3500,2,4,3.5,3.3,2.9,7.6,1600000000
Rumah Hadap Selatan SHM 9 Menit ke The Park Sawangan Dibantu KPR J-36721,Limo,90,60,2,2,1300,1,3.7,3.9,2.8,2.3,8.8,780000000
"Rumah Dijual Dalam Perumahan Dekat Gerbang Tol Limo, Depok",Limo,98,60,2,1,3500,1,4,4.9,2.2,2.1,8.9,1180000000
Di Jual Rumah Siap Huni 100m di Limo DEPOK,Limo,100,100,4,1,1300,1,5.4,2.2,4,1.9,8.1,570000000
Rumah Modern Minimalis di Limo Siap Huni,Limo,78,106,3,3,4400,2,5.4,3,3.1,2.5,7.3,1400000000
Rumah Secondary Villa Santika Grogol Limo Depok,Limo,140,100,3,2,1300,1,3.6,2.2,4.5,1.4,6.1,1350000000
Rumah 15 Menit ke Gerbang Tol Kukusan 1 Siap Huni Dibantu KPR ⁠J-18009,Limo,84,52,2,2,2200,1,5.7,2.4,4.8,3,5,880000000
"Rumah Bagus Jl Cendrawasih Griya Cinere, Depok, Jawa Barat",Limo,161,98,4,3,3500,2,4.7,3.4,0.9,0.85,8.9,1350000000
Rumah Bagus Di Griya Taman Tiga Putra Limo Depok,Limo,72,80,2,3,2200,2,3.2,4.1,3.2,2.8,8.5,1250000000
"Dijual Rumah di Perumahan Alam Persada Cemara, Depok SHM Bagus",Limo,81,60,2,1,2200,1,3.1,2.7,4.6,2,6.2,765000000
Dijual Rumah Siap Huni Strategis di Jalan Raya Limo Depok//01.26,Limo,35,35,2,1,900,1,4.3,4.6,1.9,1.3,9,250000000
Dijual rumah di limo Depok,Limo,719,179,4,3,4400,1,3.1,2.9,4.1,3.7,6.9,3750000000
"Rumah 2Lt, Semi Furnished, Hdp Selatan, di Prmhn YVE Habitat Limo",Limo,128,115,4,3,11000,2,5.3,3.7,2.7,2.2,8,2350000000
Rumah LB 140 SHM 10 Menit ke Mall Cinere Bellevue J-35682,Limo,105,140,3,2,2200,2,4.8,3.5,1,1.2,8.8,1500000000
"Rumah Di Cinere Residence Depok, Sudah Full Renov",Limo,90,38,2,2,2200,1,4.3,5.8,3.7,3.2,10,870000000
Rumah Bagus Di Depok 3 Menit Ke Pintu Tol Limo,Limo,123,90,3,2,5500,2,4.6,3.3,0.8,1,8.9,1700000000
Rumah Baru Tahap Finishing Lokasi Strategis Dekat Tol Limo,Limo,75,36,2,1,1300,1,4.1,5.6,3.5,3.1,11,750000000
Rumah Siap Huni Dekat Tol Limo Kota Depok,Limo,133,144,4,4,3500,2,3.2,3,3.8,1,8.7,1270000000
"Rumah 2Lt, Renoved 2021, Hdp. Timur, Semi Furnished, Griya Cinere",Limo,102,200,5,2,5500,2,3.8,2.5,0.3,1.5,8.5,1600000000
"Rumah 1Lt, Hdp Timur, Hal Luas, Semi Furnished, Griya Cinere Limo",Limo,410,200,6,3,2200,1,3.8,2.5,0.5,2,8.5,3200000000
Jual Rumah Pendowo Limo Siap Huni 84/120 2lt 4kt..limo.. 1.5m,Limo,84,120,4,3,2200,2,5.3,3.7,2.6,1.6,7.6,1500000000
Dijual Rumah Asri Di Jl Pulomangga Limo Depok,Limo,501,150,5,3,2200,1,5.3,2.8,3.1,2.8,6.9,1950000000
Komplek De Fatmawati Rumah Nyaman Siap Huni Limo Depok,Limo,68,50,2,1,2200,1,4.2,4.3,4.2,3,8,699000000
Rumah 2 Lantai Modern Elegan Pesona Premier Limo Depok,Limo,60,75,3,2,1300,2,4.2,3.2,3,0.3,8.2,1110000000
 Rumah Graha Cinere Parkview Siap Pindah SHM,Limo,105,127,4,4,2200,2,4.8,2.9,4.2,2.5,7.9,1750000000
Rumah Bagus 2 Lantai Siap Huni di Limo Residance. Cinere,Limo,133,180,4,4,3500,2,4.8,4,1.3,0.9,8.7,1700000000
Rumah 2 lantai Dalam Cluster di Limo,Limo,44,88,2,2,900,2,3.8,4.6,1.9,1.5,8.8,450000000
Rumah Tanah Luas Murah Cluster Siap Huni di Grogol Limo Depok,Limo,94,90,3,2,2200,2,5.2,1.2,4.5,2.5,5.8,940000000
Rumah 2lt Masih Baru Dalam Cluster Limo,Limo,96,120,4,4,2200,2,3.7,4.7,2.1,1.7,9.5,1450000000
"Rumah Griya Pendowo Lt. 140 Harga 1,6 M",Limo,140,100,3,2,2200,2,4.4,3.3,3.2,2.2,7.3,1600000000
Rumah Siap Huni Dekat Masjid bisa KPR Maruyung Limo Depok,Limo,70,36,2,1,1300,1,2.9,4.4,3.5,5,5.1,660000000
Rumah Bagus 2 Lantai Siap Huni di Limo Residance. Cinere,Limo,133,180,3,4,3500,2,4.8,4,1.3,0.9,8.7,1700000000
Dijual Rumah Nyaman Siap Huni di Laguna Graha Cinere,Limo,300,215,4,4,4400,2,4.7,3.4,1.7,3,8.9,4000000000
Rumah Baru Brand New deket Mall dan Tol di Limo Depok,Limo,90,140,5,4,2200,2,3.4,2.3,4.7,3.1,5.6,1390000000
Rumah Bagus Siap Huni Dekat Akses Tol di Cinere Park View,Limo,105,115,4,3,2200,2,4.8,3.5,1.8,2.6,9.5,1900000000
Jual Cepat Rumah Murah Siap Huni di Griya Cinere Depok,Limo,120,180,5,2,5000,2,4.8,3.5,1,0.9,8.8,1600000000
Rumah Strategis Dekat Limo 15 Menit ke Gerbang Tol LT 98 Siap Huni J34682,Limo,98,84,3,2,2200,2,3.9,2.6,0.9,2.4,8.8,1500000000
Rumah Dengan Tanah Luas Di Limo Cinere Kota Depok,Limo,300,150,7,3,3500,2,3,3,2,2,9,2800000000
Rumah 3 Lantai Furnished di Jl. Kp. Grogol Sebrang Limo Dekat Tol,Limo,131,261,4,3,4400,2,4.4,2.8,3.6,2,7.1,1900000000
Ready Siap Huni Tanpa Dp Free Biaya KPR dan SHM Balik Nama,Sawangan,60,40,2,1,2200,1,3.4,7,9.2,6.5,6.9,630000000
Dijual Rumah di Perum Cluster River View Cinangka Sawangan,Sawangan,90,120,4,3,2200,1,4,4.1,4.6,4.1,11,900000000
"Brand New, Minimalis Modern 2 Lt, Type Verdant, Shila at Sawangan",Sawangan,98,110,3,3,4400,2,3.3,4.8,8.8,7,11,1890000000
Rumah Ready di Bedahan Depok Strategis Kpr/Cash,Sawangan,70,80,3,2,1300,2,1.1,4.4,6.2,6.9,5.9,600000000
Jual Dekat Universitas Terbuka Practical House Cinangka Depok,Sawangan,40,80,3,2,2200,2,2.3,2.5,4.5,4.1,12,800000000
"Rumah Bagus SHM Tanah 120, Sawangan Permai",Sawangan,120,80,2,1,1300,1,0.16,3.4,5.8,2.9,8.7,900000000
Rumah Cluster3 Kamar.dijual Cepat Villa Ruzki Ilhami Depok Jawa Barat,Sawangan,163,133,3,3,2200,2,3.6,4.8,9.1,6.3,10,900000000
Rumah Murah 1 Lantai Siap Huni Dlm Cluster Dicinangka Depok,Sawangan,75,45,2,1,1300,1,1.9,2.5,5,4.9,11,685000000
Rumah Second Murah 2 Lantai Siap Huni Ditelaga Golf Sawangan,Sawangan,160,150,5,4,2200,2,2.8,6.6,5.2,5.2,11,2000000000
Rumah Asri & Nyaman Dalam Lingkungan Perumahan Elite di Sawangan Depok.,Sawangan,200,180,5,4,4400,2,3.5,5.6,7,6.1,11,2200000000
Rumah 2 Lantai 395 Juta Di Cipayung Depok,Sawangan,40,50,2,2,1300,2,2.8,4.4,8.6,3.8,5.6,395000000
"Komplek 1 lantai, Taman Hayati Salam, Mukhtar Raya,Sawangan,Depok",Sawangan,72,36,2,1,2200,1,0.7,3.1,5.6,2.4,8.3,600000000
"Rumah di Perumahan Bukit Rivaria, Sawangan, Depok",Sawangan,195,130,4,3,2200,1,2,5.3,8.5,3.7,8.2,1400000000
Dijual Cepat Murah Turun Harga Rumah di Bukit Rivaria Sawangan Depok,Sawangan,140,100,3,2,1300,1,1.8,5.1,8.3,4.5,8.8,850000000
Rumah Siap Huni di Area Pasir Putih Sawangan Depok,Sawangan,204,350,5,3,2200,1,3.2,4.9,9,3.8,5.7,1200000000
Rumah Shila Sawangan Dijual Semi Furnished,Sawangan,220,280,6,7,6600,2,2.1,5,7.6,5.9,11,4500000000
Dijual rumah 400 jutaan di Cipayung Depok dekat stasiun Citayam,Sawangan,60,36,2,1,1300,1,2.8,4.4,8.6,3.8,5.6,417000000
Rumah 2 Lantai di Depok 13 Menit ke Terminal SHM Bebas Banjir J35679,Sawangan,112,100,3,2,1300,2,3.9,3.9,4.5,4.1,9.9,1240000000
Rumah Minimalis Siap Huni di Jalan Raya Muhtar Sawangan,Sawangan,79,75,3,2,2200,2,1.6,4.8,7.1,4.2,9.3,800000000
Dijual Cepat Murah Rumah Cluster di Citronella Sawangan Akses Tol Desari Sawangan dan Stasiun KRL Depok,Sawangan,72,45,2,1,1300,1,1,4.3,6.8,3.9,8.8,550000000
"Rumah 2 Lantai Bagus Unfurnished SHM di Jl. Duren Mekar, Depok",Sawangan,60,75,3,2,2200,2,3.9,6,9.5,6.6,9.7,880000000
RUMAH LUAS 2 LANTAI SAWANGAN PERMAI DEPOK,Sawangan,380,329,5,3,2200,1,0.16,3.4,5.9,2.9,8,2800000000
Dijual Termurah Rumah Baru di Komplek Bni,Sawangan,84,52,2,1,1300,1,3.1,6.8,8.9,6.2,6.8,795000000
Hunian Nyaman di Pesona Sawangan Residence,Sawangan,90,45,2,1,1300,1,1,4.3,6.8,3.7,8.6,685000000
Rumah Ready 2 Lantai di Sawangan Depok Bogor,Sawangan,110,110,4,3,1300,2,0.9,4.5,6.7,3.9,8,850000000
Di Jual Rumah Elit Di Citra Lake Sawangan,Sawangan,150,144,4,4,3500,2,1.5,0.8,7.5,6.6,12,1700000000
Dijual & Disewakan Rumah Full Furnished Di Cluster Mewah Di Citralake Sawangan Bojongsari Depok,Sawangan,504,300,4,3,5500,3,1.5,0.8,7.5,6.6,12,5000000000
RUMAH SEMI FURNISHED DI BUKIT RIVARIA SAWANGAN DEPOK,Sawangan,180,200,4,4,4400,2,2,5.3,8.5,4.7,9.1,2200000000
Rumah 4 KT Siap Huni Dekat Gerbang Tol Sawangan 4 Hadap Utara J14173,Sawangan,94,160,4,2,1300,2,2.7,4.7,3.4,6.6,4.6,1550000000
Rumah Minimalis 2 Lt 4 Menit ke Terminal Sawangan Dibantu KPR J12952,Sawangan,81,65,3,1,1300,2,1.2,3.5,6,2.9,8.7,890000000
Rumah Minimalis Citra Lake Sawangan Depok. Rapi Siap Huni,Sawangan,96,53,2,1,2200,1,1.5,0.8,7.5,6.6,12,1080000000
Miliki Rumah 755 Juta di Depok Kpr Syariah SHM Dekat Tol,Sawangan,50,70,3,2,1300,2,2.8,2.1,5.5,4.6,11,755000000
"Rumah di Sawangan Depok, Dalam Komplek Lokasi Strategis",Sawangan,96,76,3,2,2200,1,2,4.5,7.7,3.9,6.6,800000000
RUMAH MURAH BAWAH NJOP BEBAS BANJIR DI BUKIT RIVARIA SAWANGAN,Sawangan,183,90,2,1,1300,1,2,5.3,8.5,4.7,9.1,1000000000
Ga sampe 1M Rumah Cluster Siap Huni di Telaga Golf Sawangan,Sawangan,105,97,3,2,3500,1,2.8,6.6,5.2,5.2,11,990000000
"Villa 3 Lantai View Danau, Baru Dan Ekslusif, Fine Homes, Citralake Sawangan",Sawangan,507,191,4,4,2200,3,1.5,0.8,7.5,5.9,12,6150000000
Di Jual Rumah Bagus Unfurnished Di Depok,Sawangan,56,35,2,1,1300,1,4.9,6.7,9.4,6.1,3.9,285000000
Citralake Sawangan Cluster Orange Cascana 2 Kamar Tidur 6X16,Sawangan,96,53,2,1,2200,1,3.6,7.7,1.3,6.3,12,1050000000
"Dijual Rumah 2 lantai di Villa Rizki Ilhami 2, Sawangan Depok SHM Bagus",Sawangan,249,215,4,4,4400,2,2.4,4.4,8.7,7.3,10,2500000000
"Dijual Rumah di Jl Bni 46 Kel. Bedahan, Kec. Sawangan, Kota Depok",Sawangan,77,96,3,3,2200,2,3.1,6.8,8.8,6.2,6.8,800000000
"Rumah 2 Lt, Hdp. Utara, Semi Furnished, dlm Cluster di Cagar Alam",Cipayung,92,78,4,3,1300,2,3.5,5.2,5.3,4.6,2,1150000000
Rumah LT 121 Strategis 15 Menit ke Stasiun Depok 1 Lt Dibantu KPR J28215,Cipayung,121,65,2,1,1300,1,3.9,4.6,8.7,4.7,3.1,710000000
"Hanya 3 Juta Dapat Rumah 2 Lantai SHM Rawasari Cipayung, Depok",Cipayung,50,60,3,2,2200,1,3.4,5.4,9.9,5.7,2.6,750000000
"Jual Cepat Butuh Uang SHM Komplek Bulak Timur Cipayung, Depok",Cipayung,76,55,3,1,1300,1,4,4.1,8.2,4.2,3.6,425000000
"Rumah Baru 2 Lantai Cipayung Depok, Pinggir Jalan Raya SHM Pecah",Cipayung,64,72,2,2,1300,2,2.4,5.8,10,6,1.6,750000000
Dijual Rumah 2 Lantai 4 Kamar Di Cipayung Depok,Cipayung,96,137,4,3,2200,2,2.6,4.9,7.7,6.6,3,1500000000
Rumah Luas Strategis 15 Menit ke Stasiun Citayam Dibantu KPR J-37279,Cipayung,119,69,3,2,2200,2,3.1,3.2,7.4,3.8,4,1170000000
"Rumah 2 Lantai Baru SHM di Rumah Dekat Stasiun, Depok",Cipayung,67,36,3,1,1300,2,3.5,4.4,7.9,4.9,4.1,420000000
Rumah Mezzanine KPR Syari'ah Developer Di Cipayung Depok,Cipayung,60,32,2,1,1300,1,3.5,4.4,7.9,5.8,3.5,372000000
Rumah Shm Di Komplek Perumahan Cipayung Depok,Cipayung,75,45,2,1,2200,1,4.2,4.1,6.1,4.3,3.9,575000000
Rumah Bagus Siap Huni Casa Perdana Unfurnished SHM Cipayung Depok,Cipayung,100,66,2,1,2200,1,2,4.3,6,4.6,2,950000000
Dijual Turun Harga Rumah 2 Lantai Harga 1 Lantai Akses Kereta Krl Depok Dan Citayam,Cipayung,100,120,4,2,2200,2,1.6,2.3,5.9,3.7,3.4,1100000000
"Dijual Rumah D'arjuna Residence Kelurahan Ratu Jaya, Hunian Strategis Harga di Bawah Pasar",Cipayung,97,40,2,1,1300,1,2.4,4.7,6.7,5.7,2.3,650000000
Rumah Cluster Cipayung Depok,Cipayung,59,45,2,1,1300,1,3.6,5.3,9.5,5.5,2.9,500000000
"Dijual Rumah Murah di Green Pitara Cipayung Depok – SHM, 3 Kamar Tidur, Bonus Furniture",Cipayung,72,72,3,3,1300,2,2.9,3,7.2,3.5,3.7,849000000
urun Harga Rumah Cantik Minimalis Villa Laskar Indah Depok,Cipayung,84,75,2,1,900,1,2.6,6.8,9.7,6.9,0.85,450000000
Rumah SHM 2 Lt Hadap Timur 7 Menit ke Stasiun Citayam Dibantu KPR J-37281,Cipayung,90,70,3,2,2200,2,2.1,6.8,7.4,7,1.4,830000000
Rumah 2 Lantai Konsep Mediterania Klasik di Depok,Cipayung,61,72,2,1,2200,2,3.6,6.6,9.3,6.1,2.2,862000000
Rumah 1 Lantai SHM 10 Menit ke Stasiun Depok Siap Huni Dibantu KPR J28871,Cipayung,81,45,2,1,1300,1,3.5,4.2,7.7,5.6,3.3,470000000
"2 Lantai SHM Komplek Bulak Timbul Pondok Terong Cipayung, Depok",Cipayung,107,107,4,3,1300,2,2.7,5.7,9.9,5.9,2,750000000
Rumah Minimalis 15 Menit ke RS Citra Medika Depok Bebas Banjir J31396,Cipayung,42,30,2,1,1300,1,3.1,5.2,5.2,5.4,3.3,420000000
"Dijual Rumah Hy 750jt di Citayem, Cipayung Depok Jawa Barat",Cipayung,131,125,3,2,2200,1,1.2,3.5,6.3,5.2,1.4,750000000
"Dijual Rumah Siap Huni - Harga Terjangkau di Cipayung, Depok 10 Menit ke Stasiun Citayam",Cipayung,50,40,2,1,1300,1,2.4,6,7.4,6.6,1.2,300000000
Rumah minimalis,Cipayung,81,75,3,1,1300,1,3.7,3.2,8,4.5,3.8,650000000
Rumah Dijual Cipayung Depok Lantai,Cipayung,100,106,4,4,2200,2,3.6,6.2,9,7,1.8,800000000
Rumah Dijual Masuk Dari Jl Jembatan Serong Cipayung Depok,Cipayung,81,60,3,2,1300,1,3.3,3.4,7.6,3.8,3.7,650000000
di jual rumah di kawasan perumahan Depok bersih kecamatan Cipayung Depok,Cipayung,90,65,2,1,2200,1,2.3,4.6,7.3,6.9,2.4,885000000
"Rumah 2 Lantai Bagus SHM di Perum Permata Depok, Pondok Jaya, Cipayung Depok, Jawa Barat.",Cipayung,90,113,3,2,2200,2,2.8,6.4,9.2,7.3,1.1,750000000
"Luas Tanah 170 M2 SHM Bulak Indah Anggrek Cipayung, Depok",Cipayung,170,160,4,2,1300,2,4.5,4.2,8.3,4.3,3.8,750000000
Rumah Dijual Cluster Le Mirage Gardenia Siap Huni Rumah,Cipayung,84,50,2,1,2200,1,4.2,4.3,8.5,4.3,3.4,900000000
Dijual Butuh Mendesak Rumah Siap Huni,Cipayung,60,45,2,1,1300,1,3.2,5.5,8.9,5,2.2,495000000
Rumah Baru Cipayung Depok 2 Lantai SHM Dekat Stasiun KRL dan Tol,Cipayung,60,50,3,2,2200,2,3.2,5.4,9.6,6.4,2.4,750000000
Rumah Bagus Siap Huni 2 Lantai Permata Depok Cipayung Depok,Cipayung,90,115,3,2,2200,2,3.7,7.5,9.9,8.2,1.9,850000000
"Rumah 1 Lantai di Perumahan Mutiara Jaya Residence Blok A No. 4 Cipayung, Kota Depok, Jawa Barat Lokasi Dekat dengan Stasiun Citayam",Cipayung,70,50,2,1,1300,1,4.2,4.3,8.5,4.5,3.9,950000000
"[Hot] Rumah Atl Cipayung di Dekat Stasiun Kota Depok Lama, Mewah Murah Baru, Jual Dijual",Cipayung,65,36,3,1,1300,2,1.9,6.4,7.5,5.1,3.3,405000000
Rumah Baru Ready 400jtan Rumah 1 Setengah Lantai 3Km Stasiun Depok Lama,Cipayung,68,36,3,1,1300,1,3.5,4.4,7.9,5.8,3.5,430000000
Rumah Shm Di Komplek Perumahan Cipayung Depok,Cipayung,75,45,2,1,2200,1,4.2,4.1,8.3,8.1,3.9,575000000
